iter	Passed	Remaining
0	1	157
1	3	154
2	5	164
3	5	137
4	6	125
5	7	121
6	8	117
7	9	113
8	10	110
9	12	108
10	13	107
11	14	105
12	15	102
13	16	100
14	17	98
15	18	97
16	19	96
17	20	94
18	22	93
19	23	92
20	24	90
21	25	89
22	26	88
23	27	86
24	28	85
25	29	84
26	30	83
27	31	81
28	33	81
29	34	80
30	35	78
31	36	77
32	37	76
33	38	75
34	39	73
35	40	72
36	41	71
37	42	69
38	43	68
39	44	67
40	46	66
41	46	64
42	47	63
43	49	62
44	50	61
45	51	60
46	52	59
47	53	58
48	55	57
49	56	56
50	57	54
51	58	53
52	59	52
53	60	51
54	60	49
55	61	48
56	62	47
57	63	45
58	64	44
59	65	43
60	66	42
61	67	41
62	68	40
63	69	39
64	70	38
65	71	36
66	72	35
67	73	34
68	74	33
69	76	32
70	76	31
71	77	30
72	78	29
73	79	28
74	81	27
75	82	25
76	83	24
77	84	23
78	85	22
79	86	21
80	87	20
81	88	19
82	89	18
83	90	17
84	92	16
85	93	15
86	94	14
87	95	12
88	96	11
89	97	10
90	98	9
91	99	8
92	100	7
93	101	6
94	102	5
95	104	4
96	105	3
97	106	2
98	107	1
99	108	0
