iter	Passed	Remaining
0	0	917
1	1	854
2	2	846
3	3	864
4	4	875
5	5	861
6	5	839
7	6	827
8	7	823
9	8	818
10	9	823
11	9	819
12	10	818
13	11	811
14	12	799
15	12	795
16	13	789
17	14	782
18	15	779
19	15	776
20	16	775
21	17	773
22	18	769
23	18	761
24	19	759
25	20	756
26	21	757
27	21	755
28	22	754
29	23	753
30	24	750
31	24	751
32	25	751
33	26	746
34	27	745
35	27	743
36	28	742
37	29	742
38	29	738
39	30	736
40	31	732
41	32	732
42	32	732
43	33	735
44	34	733
45	35	734
46	36	733
47	36	732
48	37	734
49	38	732
50	39	734
51	40	737
52	41	737
53	42	740
54	43	739
55	43	737
56	44	736
57	45	738
58	46	741
59	47	740
60	48	741
61	48	740
62	49	739
63	50	739
64	51	737
65	52	737
66	53	738
67	53	738
68	54	737
69	55	736
70	56	736
71	57	736
72	57	735
73	58	737
74	59	736
75	60	735
76	61	735
77	62	734
78	62	733
79	63	732
80	64	731
81	65	731
82	65	726
83	66	724
84	67	721
85	67	720
86	68	718
87	69	716
88	69	713
89	70	712
90	71	711
91	71	710
92	72	708
93	73	707
94	74	706
95	75	706
96	75	705
97	76	707
98	77	708
99	78	708
100	79	707
101	80	706
102	81	706
103	82	707
104	83	707
105	83	707
106	84	707
107	85	706
108	86	705
109	86	703
110	87	703
111	89	706
112	89	706
113	90	706
114	91	707
115	92	705
116	93	703
117	94	705
118	95	708
119	96	708
120	97	707
121	98	705
122	98	704
123	99	703
124	100	702
125	101	702
126	102	701
127	103	705
128	104	705
129	105	704
130	105	702
131	106	701
132	107	700
133	108	700
134	109	700
135	110	699
136	110	698
137	111	697
138	112	696
139	113	696
140	114	695
141	114	693
142	115	693
143	116	692
144	117	693
145	118	692
146	119	693
147	120	692
148	121	691
149	121	690
150	122	688
151	123	687
152	123	685
153	124	683
154	125	682
155	125	681
156	126	679
157	127	679
158	128	678
159	129	677
160	129	675
161	130	673
162	130	672
163	131	671
164	132	671
165	133	670
166	134	669
167	134	668
168	135	667
169	136	666
170	137	665
171	138	665
172	139	664
173	139	664
174	140	662
175	141	661
176	141	660
177	142	658
178	143	656
179	143	655
180	144	654
181	145	653
182	146	652
183	146	651
184	147	650
185	148	648
186	148	646
187	149	645
188	150	644
189	151	643
190	151	642
191	152	641
192	153	640
193	153	638
194	154	636
195	154	634
196	155	632
197	155	630
198	156	629
199	157	628
200	157	626
201	158	625
202	158	623
203	159	622
204	159	620
205	160	618
206	160	616
207	161	615
208	162	613
209	162	612
210	163	611
211	164	610
212	164	609
213	165	608
214	166	606
215	166	605
216	167	603
217	167	602
218	168	600
219	169	599
220	169	598
221	170	596
222	170	595
223	171	593
224	171	591
225	172	590
226	172	588
227	173	586
228	173	585
229	174	583
230	174	582
231	175	581
232	176	579
233	176	578
234	177	576
235	177	574
236	178	573
237	178	571
238	179	569
239	179	568
240	179	566
241	180	565
242	180	563
243	181	562
244	182	561
245	182	559
246	183	558
247	183	556
248	183	554
249	184	553
250	184	551
251	185	550
252	185	548
253	186	547
254	186	546
255	187	545
256	188	544
257	189	543
258	189	543
259	190	542
260	191	541
261	191	540
262	192	539
263	193	538
264	193	537
265	194	536
266	195	535
267	195	534
268	196	534
269	197	533
270	197	532
271	198	531
272	199	530
273	199	529
274	200	529
275	201	528
276	202	528
277	203	527
278	203	526
279	204	525
280	204	524
281	205	523
282	206	522
283	206	521
284	207	520
285	208	520
286	209	519
287	209	518
288	210	517
289	210	516
290	211	515
291	211	513
292	212	513
293	213	512
294	214	511
295	214	510
296	215	509
297	215	508
298	216	507
299	216	506
300	217	505
301	218	504
302	218	502
303	219	502
304	220	501
305	220	500
306	221	499
307	222	498
308	222	497
309	223	496
310	223	495
311	224	494
312	224	493
313	225	492
314	225	491
315	226	490
316	227	489
317	227	488
318	228	486
319	228	485
320	229	484
321	229	483
322	230	483
323	231	482
324	232	481
325	232	481
326	233	480
327	234	479
328	234	478
329	235	477
330	235	476
331	236	475
332	237	474
333	237	474
334	238	473
335	238	472
336	239	471
337	240	470
338	240	469
339	241	468
340	242	467
341	242	466
342	243	465
343	243	464
344	244	463
345	244	462
346	245	461
347	245	460
348	246	459
349	246	458
350	247	457
351	247	456
352	248	455
353	248	454
354	249	453
355	250	452
356	250	452
357	251	451
358	252	450
359	252	449
360	253	448
361	254	447
362	254	446
363	255	446
364	255	445
365	256	444
366	257	443
367	257	442
368	258	442
369	259	441
370	260	441
371	260	440
372	261	439
373	262	438
374	262	438
375	263	437
376	264	436
377	264	435
378	265	435
379	266	434
380	266	433
381	267	432
382	268	431
383	268	431
384	269	430
385	270	429
386	270	429
387	271	428
388	272	427
389	273	427
390	273	426
391	274	426
392	275	425
393	276	424
394	277	424
395	277	423
396	278	423
397	279	422
398	279	421
399	280	420
400	281	420
401	282	419
402	282	419
403	283	418
404	284	417
405	284	416
406	285	415
407	286	415
408	286	414
409	287	413
410	288	412
411	288	412
412	289	411
413	290	410
414	290	409
415	291	408
416	291	407
417	292	406
418	292	405
419	293	405
420	294	404
421	294	403
422	295	402
423	295	402
424	296	401
425	297	400
426	297	399
427	298	398
428	299	398
429	299	397
430	300	396
431	300	395
432	301	395
433	302	394
434	303	393
435	303	392
436	304	391
437	304	391
438	305	390
439	306	389
440	306	388
441	307	387
442	307	387
443	308	386
444	308	385
445	309	384
446	309	383
447	310	382
448	310	381
449	311	380
450	311	379
451	312	378
452	313	378
453	313	377
454	314	376
455	315	375
456	315	375
457	316	374
458	316	373
459	317	372
460	317	371
461	318	370
462	319	370
463	319	369
464	320	368
465	320	367
466	321	366
467	321	365
468	322	364
469	322	363
470	323	362
471	323	361
472	324	361
473	324	360
474	325	359
475	326	359
476	326	358
477	327	357
478	328	356
479	328	356
480	329	355
481	330	354
482	330	354
483	331	353
484	332	352
485	332	351
486	333	350
487	333	350
488	334	349
489	334	348
490	335	347
491	335	346
492	336	345
493	336	345
494	337	344
495	338	343
496	338	342
497	339	341
498	339	341
499	340	340
500	340	339
501	341	338
502	341	337
503	342	337
504	343	336
505	344	335
506	344	335
507	345	334
508	345	333
509	346	332
510	346	331
511	347	330
512	347	330
513	348	329
514	348	328
515	349	327
516	350	327
517	350	326
518	351	325
519	351	324
520	352	323
521	352	323
522	353	322
523	353	321
524	354	320
525	354	319
526	355	318
527	355	318
528	356	317
529	357	316
530	357	315
531	358	315
532	358	314
533	359	313
534	359	312
535	360	311
536	360	311
537	361	310
